standard,2536,253,2283,73,769,914,50,21
standard,2536,507,2029,73,1093,964,28,2
standard,2536,760,1776,73,936,969,35,3
standard,2536,1014,1522,73,788,726,46,3
standard,2536,1268,1268,73,573,538,40,5
standard,2536,1521,1015,73,536,500,51,6
standard,2536,1775,761,73,397,358,61,6
standard,2536,2028,508,73,190,218,65,8
standard,2536,2282,254,73,124,121,72,9
cross,2536,253,2283,73,1409,1379,9,36
cross,2536,507,2029,73,1088,1092,21,57
cross,2536,760,1776,73,864,721,24,69
cross,2536,1014,1522,73,885,827,33,102
cross,2536,1268,1268,73,758,720,41,113
cross,2536,1521,1015,73,441,481,54,138
cross,2536,1775,761,73,435,409,58,168
cross,2536,2028,508,73,236,242,66,191
cross,2536,2282,254,73,111,112,73,209
compare,2536,253,2283,73,919,1027,2283,72,1975,38748
compare,2536,507,2029,73,1011,810,2029,65,1527,34204
compare,2536,760,1776,73,748,682,1776,57,1327,30343
compare,2536,1014,1522,73,706,629,1522,49,1147,25987
compare,2536,1268,1268,73,669,669,1268,41,960,21677
compare,2536,1521,1015,73,565,471,1015,32,779,17241
compare,2536,1775,761,73,465,455,761,25,575,12954
compare,2536,2028,508,73,294,287,508,15,401,8670
compare,2536,2282,254,73,106,110,254,8,194,4441
