standard,267,26,241,45,121,155,17,4
standard,267,53,214,45,63,80,7,1
standard,267,80,187,45,92,69,7,2
standard,267,106,161,45,62,40,5,2
standard,267,133,134,45,92,99,4,1
standard,267,160,107,45,35,31,5,1
standard,267,186,81,45,55,59,6,1
standard,267,213,54,45,22,20,6,0
standard,267,240,27,45,16,19,10,1
cross,267,26,241,45,108,55,1,11
cross,267,53,214,45,111,160,1,8
cross,267,80,187,45,57,138,3,10
cross,267,106,161,45,65,125,4,16
cross,267,133,134,45,66,36,5,12
cross,267,160,107,45,49,24,4,12
cross,267,186,81,45,33,20,4,12
cross,267,213,54,45,23,12,4,9
cross,267,240,27,45,12,8,5,12
compare,267,26,241,45,156,104,241,5,357,1681
compare,267,53,214,45,124,122,214,4,107,1440
compare,267,80,187,45,118,72,187,3,93,1260
compare,267,106,161,45,75,70,161,3,76,1081
compare,267,133,134,45,87,65,134,3,70,904
compare,267,160,107,45,56,48,107,2,50,720
compare,267,186,81,45,54,35,81,2,40,541
compare,267,213,54,45,27,22,54,1,27,364
compare,267,240,27,45,13,15,27,1,14,180
